"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3319","Verify the login page with invalid password","firefox","Wed Oct 22 01:48:59 UTC 2025","failed","Wed Oct 22 01:49:02 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","356","Verify the login page with invalid password","chromium","Wed Oct 22 01:48:32 UTC 2025","passed","Wed Oct 22 01:48:32 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","373","Verify the login page with invalid email","chromium","Wed Oct 22 01:48:32 UTC 2025","passed","Wed Oct 22 01:48:32 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","338","Buying the first item Sauce Labs Backpack","webkit","Wed Oct 22 01:49:04 UTC 2025","failed","Wed Oct 22 01:49:04 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","3322","Verify the login page with valid email and password","firefox","Wed Oct 22 01:48:44 UTC 2025","failed","Wed Oct 22 01:48:47 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","510","Verify the login page with valid email and password","chromium","Wed Oct 22 01:48:31 UTC 2025","passed","Wed Oct 22 01:48:32 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","5929","Buying the first item Sauce Labs Backpack","chromium","Wed Oct 22 01:48:25 UTC 2025","failed","Wed Oct 22 01:48:31 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","3323","Verify the login page with invalid email","firefox","Wed Oct 22 01:48:52 UTC 2025","failed","Wed Oct 22 01:48:55 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","327","Verify the login page with valid email and password","webkit","Wed Oct 22 01:49:05 UTC 2025","failed","Wed Oct 22 01:49:06 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","332","Verify the login page with invalid password","webkit","Wed Oct 22 01:49:08 UTC 2025","failed","Wed Oct 22 01:49:09 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3332","Buying the first item Sauce Labs Backpack","firefox","Wed Oct 22 01:48:37 UTC 2025","failed","Wed Oct 22 01:48:40 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","328","Verify the login page with invalid email","webkit","Wed Oct 22 01:49:07 UTC 2025","failed","Wed Oct 22 01:49:07 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
