"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","333","Verify the login page with invalid email","webkit","Tue Oct 28 01:45:20 UTC 2025","failed","Tue Oct 28 01:45:20 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","337","Verify the login page with valid email and password","webkit","Tue Oct 28 01:45:18 UTC 2025","failed","Tue Oct 28 01:45:18 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3332","Buying the first item Sauce Labs Backpack","firefox","Tue Oct 28 01:44:49 UTC 2025","failed","Tue Oct 28 01:44:53 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","6046","Buying the first item Sauce Labs Backpack","chromium","Tue Oct 28 01:44:37 UTC 2025","failed","Tue Oct 28 01:44:43 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","633","Verify the login page with valid email and password","chromium","Tue Oct 28 01:44:43 UTC 2025","passed","Tue Oct 28 01:44:44 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3322","Verify the login page with invalid email","firefox","Tue Oct 28 01:45:04 UTC 2025","failed","Tue Oct 28 01:45:08 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","487","Verify the login page with invalid email","chromium","Tue Oct 28 01:44:44 UTC 2025","passed","Tue Oct 28 01:44:45 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","339","Verify the login page with invalid password","webkit","Tue Oct 28 01:45:21 UTC 2025","failed","Tue Oct 28 01:45:21 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","493","Verify the login page with invalid password","chromium","Tue Oct 28 01:44:45 UTC 2025","passed","Tue Oct 28 01:44:45 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","339","Buying the first item Sauce Labs Backpack","webkit","Tue Oct 28 01:45:16 UTC 2025","failed","Tue Oct 28 01:45:17 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","3327","Verify the login page with invalid password","firefox","Tue Oct 28 01:45:12 UTC 2025","failed","Tue Oct 28 01:45:15 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3328","Verify the login page with valid email and password","firefox","Tue Oct 28 01:44:57 UTC 2025","failed","Tue Oct 28 01:45:00 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
