"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3371","Verify the login page with invalid password","firefox","Tue Oct 14 20:02:52 UTC 2025","failed","Tue Oct 14 20:02:55 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","5902","Buying the first item Sauce Labs Backpack","chromium","Tue Oct 14 20:02:17 UTC 2025","failed","Tue Oct 14 20:02:23 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","331","Buying the first item Sauce Labs Backpack","webkit","Tue Oct 14 20:02:57 UTC 2025","failed","Tue Oct 14 20:02:57 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","325","Verify the login page with invalid password","webkit","Tue Oct 14 20:03:01 UTC 2025","failed","Tue Oct 14 20:03:01 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","329","Verify the login page with valid email and password","webkit","Tue Oct 14 20:02:58 UTC 2025","failed","Tue Oct 14 20:02:58 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","332","Verify the login page with invalid password","chromium","Tue Oct 14 20:02:24 UTC 2025","passed","Tue Oct 14 20:02:25 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3431","Buying the first item Sauce Labs Backpack","firefox","Tue Oct 14 20:02:29 UTC 2025","failed","Tue Oct 14 20:02:33 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","3420","Verify the login page with valid email and password","firefox","Tue Oct 14 20:02:37 UTC 2025","failed","Tue Oct 14 20:02:40 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","506","Verify the login page with valid email and password","chromium","Tue Oct 14 20:02:24 UTC 2025","passed","Tue Oct 14 20:02:24 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","328","Verify the login page with invalid email","webkit","Tue Oct 14 20:03:00 UTC 2025","failed","Tue Oct 14 20:03:00 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","381","Verify the login page with invalid email","chromium","Tue Oct 14 20:02:24 UTC 2025","passed","Tue Oct 14 20:02:24 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3317","Verify the login page with invalid email","firefox","Tue Oct 14 20:02:44 UTC 2025","failed","Tue Oct 14 20:02:48 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
