"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","332","Verify the login page with valid email and password","webkit","Thu Oct 30 01:51:31 UTC 2025","failed","Thu Oct 30 01:51:32 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3374","Verify the login page with invalid password","firefox","Thu Oct 30 01:51:25 UTC 2025","failed","Thu Oct 30 01:51:29 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3401","Verify the login page with invalid email","firefox","Thu Oct 30 01:51:17 UTC 2025","failed","Thu Oct 30 01:51:21 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","392","Verify the login page with invalid email","chromium","Thu Oct 30 01:50:57 UTC 2025","passed","Thu Oct 30 01:50:57 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","327","Buying the first item Sauce Labs Backpack","webkit","Thu Oct 30 01:51:30 UTC 2025","failed","Thu Oct 30 01:51:30 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","510","Verify the login page with valid email and password","chromium","Thu Oct 30 01:50:56 UTC 2025","passed","Thu Oct 30 01:50:57 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3311","Buying the first item Sauce Labs Backpack","firefox","Thu Oct 30 01:51:02 UTC 2025","failed","Thu Oct 30 01:51:06 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","332","Verify the login page with invalid password","webkit","Thu Oct 30 01:51:34 UTC 2025","failed","Thu Oct 30 01:51:35 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3325","Verify the login page with valid email and password","firefox","Thu Oct 30 01:51:10 UTC 2025","failed","Thu Oct 30 01:51:13 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","326","Verify the login page with invalid email","webkit","Thu Oct 30 01:51:33 UTC 2025","failed","Thu Oct 30 01:51:33 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","5920","Buying the first item Sauce Labs Backpack","chromium","Thu Oct 30 01:50:50 UTC 2025","failed","Thu Oct 30 01:50:56 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","330","Verify the login page with invalid password","chromium","Thu Oct 30 01:50:57 UTC 2025","passed","Thu Oct 30 01:50:58 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
