"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3318","Verify the login page with invalid email","firefox","Fri Oct 31 14:53:20 UTC 2025","failed","Fri Oct 31 14:53:24 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3398","Verify the login page with valid email and password","firefox","Fri Oct 31 14:53:13 UTC 2025","failed","Fri Oct 31 14:53:16 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3319","Buying the first item Sauce Labs Backpack","firefox","Fri Oct 31 14:53:05 UTC 2025","failed","Fri Oct 31 14:53:08 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","198","Buying the first item Sauce Labs Backpack","chromium","Fri Oct 31 14:52:56 UTC 2025","failed","Fri Oct 31 14:52:57 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","3314","Verify the login page with invalid password","firefox","Fri Oct 31 14:53:28 UTC 2025","failed","Fri Oct 31 14:53:31 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","328","Verify the login page with invalid password","webkit","Fri Oct 31 14:53:37 UTC 2025","failed","Fri Oct 31 14:53:37 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","334","Buying the first item Sauce Labs Backpack","webkit","Fri Oct 31 14:53:33 UTC 2025","failed","Fri Oct 31 14:53:33 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","204","Verify the login page with invalid password","chromium","Fri Oct 31 14:53:01 UTC 2025","failed","Fri Oct 31 14:53:01 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","335","Verify the login page with valid email and password","webkit","Fri Oct 31 14:53:34 UTC 2025","failed","Fri Oct 31 14:53:34 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","328","Verify the login page with invalid email","webkit","Fri Oct 31 14:53:36 UTC 2025","failed","Fri Oct 31 14:53:36 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","204","Verify the login page with valid email and password","chromium","Fri Oct 31 14:52:58 UTC 2025","failed","Fri Oct 31 14:52:58 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","639","Verify the login page with invalid email","chromium","Fri Oct 31 14:52:59 UTC 2025","failed","Fri Oct 31 14:53:00 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
