"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","589","Verify the login page with valid email and password","chromium","Thu Oct 16 01:47:55 UTC 2025","passed","Thu Oct 16 01:47:55 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","324","Verify the login page with valid email and password","webkit","Thu Oct 16 01:48:29 UTC 2025","failed","Thu Oct 16 01:48:29 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","5981","Buying the first item Sauce Labs Backpack","chromium","Thu Oct 16 01:47:48 UTC 2025","failed","Thu Oct 16 01:47:54 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","442","Verify the login page with invalid email","chromium","Thu Oct 16 01:47:55 UTC 2025","passed","Thu Oct 16 01:47:56 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3412","Verify the login page with valid email and password","firefox","Thu Oct 16 01:48:08 UTC 2025","failed","Thu Oct 16 01:48:11 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","329","Verify the login page with invalid email","webkit","Thu Oct 16 01:48:31 UTC 2025","failed","Thu Oct 16 01:48:31 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3316","Verify the login page with invalid password","firefox","Thu Oct 16 01:48:23 UTC 2025","failed","Thu Oct 16 01:48:26 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","407","Verify the login page with invalid password","chromium","Thu Oct 16 01:47:56 UTC 2025","passed","Thu Oct 16 01:47:56 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3315","Verify the login page with invalid email","firefox","Thu Oct 16 01:48:16 UTC 2025","failed","Thu Oct 16 01:48:19 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3317","Buying the first item Sauce Labs Backpack","firefox","Thu Oct 16 01:48:01 UTC 2025","failed","Thu Oct 16 01:48:04 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","327","Verify the login page with invalid password","webkit","Thu Oct 16 01:48:32 UTC 2025","failed","Thu Oct 16 01:48:32 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","338","Buying the first item Sauce Labs Backpack","webkit","Thu Oct 16 01:48:28 UTC 2025","failed","Thu Oct 16 01:48:28 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
