"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","352","Verify the login page with invalid email","chromium","Tue Oct 21 01:45:44 UTC 2025","passed","Tue Oct 21 01:45:44 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","332","Buying the first item Sauce Labs Backpack","webkit","Tue Oct 21 01:46:16 UTC 2025","failed","Tue Oct 21 01:46:16 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","3424","Buying the first item Sauce Labs Backpack","firefox","Tue Oct 21 01:45:49 UTC 2025","failed","Tue Oct 21 01:45:52 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","328","Verify the login page with invalid password","webkit","Tue Oct 21 01:46:21 UTC 2025","failed","Tue Oct 21 01:46:21 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","5877","Buying the first item Sauce Labs Backpack","chromium","Tue Oct 21 01:45:37 UTC 2025","failed","Tue Oct 21 01:45:43 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","378","Verify the login page with invalid password","chromium","Tue Oct 21 01:45:44 UTC 2025","passed","Tue Oct 21 01:45:45 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","328","Verify the login page with valid email and password","webkit","Tue Oct 21 01:46:18 UTC 2025","failed","Tue Oct 21 01:46:18 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","332","Verify the login page with invalid email","webkit","Tue Oct 21 01:46:19 UTC 2025","failed","Tue Oct 21 01:46:19 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3314","Verify the login page with valid email and password","firefox","Tue Oct 21 01:45:57 UTC 2025","failed","Tue Oct 21 01:46:00 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3313","Verify the login page with invalid password","firefox","Tue Oct 21 01:46:12 UTC 2025","failed","Tue Oct 21 01:46:15 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","494","Verify the login page with valid email and password","chromium","Tue Oct 21 01:45:43 UTC 2025","passed","Tue Oct 21 01:45:44 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3317","Verify the login page with invalid email","firefox","Tue Oct 21 01:46:04 UTC 2025","failed","Tue Oct 21 01:46:07 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
