"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","300","Verify the login page with invalid password","Login","Mon Nov 24 20:52:42 UTC 2025","passed","Mon Nov 24 20:52:43 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","5628","Buying the first item Sauce Labs Backpack","Buy Product","Mon Nov 24 20:52:35 UTC 2025","failed","Mon Nov 24 20:52:41 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","394","Verify the login page with valid email and password","Login","Mon Nov 24 20:52:42 UTC 2025","passed","Mon Nov 24 20:52:42 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","306","Verify the login page with invalid email","Login","Mon Nov 24 20:52:42 UTC 2025","passed","Mon Nov 24 20:52:42 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
