"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3309","Verify the login page with invalid password","firefox","Fri Oct 17 01:43:03 UTC 2025","failed","Fri Oct 17 01:43:06 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","343","Verify the login page with invalid password","chromium","Fri Oct 17 01:42:35 UTC 2025","passed","Fri Oct 17 01:42:36 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","343","Buying the first item Sauce Labs Backpack","webkit","Fri Oct 17 01:43:08 UTC 2025","failed","Fri Oct 17 01:43:08 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","3361","Verify the login page with valid email and password","firefox","Fri Oct 17 01:42:48 UTC 2025","failed","Fri Oct 17 01:42:52 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","333","Verify the login page with invalid email","chromium","Fri Oct 17 01:42:35 UTC 2025","passed","Fri Oct 17 01:42:35 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3315","Buying the first item Sauce Labs Backpack","firefox","Fri Oct 17 01:42:40 UTC 2025","failed","Fri Oct 17 01:42:44 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","3324","Verify the login page with invalid email","firefox","Fri Oct 17 01:42:56 UTC 2025","failed","Fri Oct 17 01:42:59 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","525","Verify the login page with valid email and password","chromium","Fri Oct 17 01:42:35 UTC 2025","passed","Fri Oct 17 01:42:35 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","341","Verify the login page with valid email and password","webkit","Fri Oct 17 01:43:09 UTC 2025","failed","Fri Oct 17 01:43:10 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","347","Verify the login page with invalid password","webkit","Fri Oct 17 01:43:12 UTC 2025","failed","Fri Oct 17 01:43:13 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","343","Verify the login page with invalid email","webkit","Fri Oct 17 01:43:11 UTC 2025","failed","Fri Oct 17 01:43:11 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","5935","Buying the first item Sauce Labs Backpack","chromium","Fri Oct 17 01:42:28 UTC 2025","failed","Fri Oct 17 01:42:34 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
