"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3350","Verify the login page with invalid email","firefox","Sat Oct 18 01:38:26 UTC 2025","failed","Sat Oct 18 01:38:30 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3502","Verify the login page with invalid password","firefox","Sat Oct 18 01:38:34 UTC 2025","failed","Sat Oct 18 01:38:37 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","348","Verify the login page with invalid password","webkit","Sat Oct 18 01:38:43 UTC 2025","failed","Sat Oct 18 01:38:44 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","347","Verify the login page with valid email and password","webkit","Sat Oct 18 01:38:40 UTC 2025","failed","Sat Oct 18 01:38:41 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3337","Verify the login page with valid email and password","firefox","Sat Oct 18 01:38:19 UTC 2025","failed","Sat Oct 18 01:38:22 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3411","Buying the first item Sauce Labs Backpack","firefox","Sat Oct 18 01:38:11 UTC 2025","failed","Sat Oct 18 01:38:15 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","353","Verify the login page with invalid email","webkit","Sat Oct 18 01:38:42 UTC 2025","failed","Sat Oct 18 01:38:42 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","345","Verify the login page with invalid password","chromium","Sat Oct 18 01:38:06 UTC 2025","passed","Sat Oct 18 01:38:07 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","340","Buying the first item Sauce Labs Backpack","webkit","Sat Oct 18 01:38:39 UTC 2025","failed","Sat Oct 18 01:38:39 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","5943","Buying the first item Sauce Labs Backpack","chromium","Sat Oct 18 01:37:59 UTC 2025","failed","Sat Oct 18 01:38:05 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","411","Verify the login page with invalid email","chromium","Sat Oct 18 01:38:06 UTC 2025","passed","Sat Oct 18 01:38:06 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","499","Verify the login page with valid email and password","chromium","Sat Oct 18 01:38:05 UTC 2025","passed","Sat Oct 18 01:38:06 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
