"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","206","Buying the first item Sauce Labs Backpack","default","Sat Nov 01 01:50:41 UTC 2025","failed","Sat Nov 01 01:50:42 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","201","Verify the login page with invalid password","default","Sat Nov 01 01:50:45 UTC 2025","failed","Sat Nov 01 01:50:45 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","216","Verify the login page with valid email and password","default","Sat Nov 01 01:50:43 UTC 2025","failed","Sat Nov 01 01:50:43 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","202","Verify the login page with invalid email","default","Sat Nov 01 01:50:44 UTC 2025","failed","Sat Nov 01 01:50:44 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
