"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","347","Verify the login page with invalid password","webkit","Tue Oct 14 19:37:36 UTC 2025","failed","Tue Oct 14 19:37:37 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","338","Buying the first item Sauce Labs Backpack","webkit","Tue Oct 14 19:37:32 UTC 2025","failed","Tue Oct 14 19:37:32 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","339","Verify the login page with invalid email","webkit","Tue Oct 14 19:37:35 UTC 2025","failed","Tue Oct 14 19:37:35 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","339","Verify the login page with valid email and password","webkit","Tue Oct 14 19:37:33 UTC 2025","failed","Tue Oct 14 19:37:34 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","536","Verify the login page with valid email and password","chromium","Tue Oct 14 19:36:58 UTC 2025","passed","Tue Oct 14 19:36:59 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","5926","Buying the first item Sauce Labs Backpack","chromium","Tue Oct 14 19:36:52 UTC 2025","failed","Tue Oct 14 19:36:58 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","3327","Verify the login page with valid email and password","firefox","Tue Oct 14 19:37:12 UTC 2025","failed","Tue Oct 14 19:37:15 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3347","Verify the login page with invalid password","firefox","Tue Oct 14 19:37:27 UTC 2025","failed","Tue Oct 14 19:37:30 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","362","Verify the login page with invalid password","chromium","Tue Oct 14 19:36:59 UTC 2025","passed","Tue Oct 14 19:36:59 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","405","Verify the login page with invalid email","chromium","Tue Oct 14 19:36:59 UTC 2025","passed","Tue Oct 14 19:36:59 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3605","Verify the login page with invalid email","firefox","Tue Oct 14 19:37:19 UTC 2025","failed","Tue Oct 14 19:37:23 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3359","Buying the first item Sauce Labs Backpack","firefox","Tue Oct 14 19:37:04 UTC 2025","failed","Tue Oct 14 19:37:07 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
