"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","329","Verify the login page with valid email and password","webkit","Thu Oct 23 01:45:18 UTC 2025","failed","Thu Oct 23 01:45:19 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3326","Verify the login page with invalid password","firefox","Thu Oct 23 01:45:12 UTC 2025","failed","Thu Oct 23 01:45:16 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3404","Buying the first item Sauce Labs Backpack","firefox","Thu Oct 23 01:44:50 UTC 2025","failed","Thu Oct 23 01:44:53 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","515","Verify the login page with valid email and password","chromium","Thu Oct 23 01:44:44 UTC 2025","passed","Thu Oct 23 01:44:44 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","366","Buying the first item Sauce Labs Backpack","webkit","Thu Oct 23 01:45:17 UTC 2025","failed","Thu Oct 23 01:45:17 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","3323","Verify the login page with invalid email","firefox","Thu Oct 23 01:45:05 UTC 2025","failed","Thu Oct 23 01:45:08 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","498","Verify the login page with invalid email","chromium","Thu Oct 23 01:44:44 UTC 2025","passed","Thu Oct 23 01:44:45 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","343","Verify the login page with invalid password","chromium","Thu Oct 23 01:44:45 UTC 2025","passed","Thu Oct 23 01:44:45 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3328","Verify the login page with valid email and password","firefox","Thu Oct 23 01:44:57 UTC 2025","failed","Thu Oct 23 01:45:01 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","330","Verify the login page with invalid email","webkit","Thu Oct 23 01:45:20 UTC 2025","failed","Thu Oct 23 01:45:20 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","331","Verify the login page with invalid password","webkit","Thu Oct 23 01:45:21 UTC 2025","failed","Thu Oct 23 01:45:22 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","5920","Buying the first item Sauce Labs Backpack","chromium","Thu Oct 23 01:44:37 UTC 2025","failed","Thu Oct 23 01:44:43 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
