"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","327","Verify the login page with invalid password","webkit","Fri Oct 31 01:48:04 UTC 2025","failed","Fri Oct 31 01:48:04 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3315","Verify the login page with valid email and password","firefox","Fri Oct 31 01:47:40 UTC 2025","failed","Fri Oct 31 01:47:43 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3318","Buying the first item Sauce Labs Backpack","firefox","Fri Oct 31 01:47:32 UTC 2025","failed","Fri Oct 31 01:47:35 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","3306","Verify the login page with invalid password","firefox","Fri Oct 31 01:47:55 UTC 2025","failed","Fri Oct 31 01:47:58 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","327","Verify the login page with valid email and password","webkit","Fri Oct 31 01:48:01 UTC 2025","failed","Fri Oct 31 01:48:01 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","454","Verify the login page with invalid password","chromium","Fri Oct 31 01:47:27 UTC 2025","passed","Fri Oct 31 01:47:28 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","6029","Buying the first item Sauce Labs Backpack","chromium","Fri Oct 31 01:47:20 UTC 2025","failed","Fri Oct 31 01:47:26 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","484","Verify the login page with invalid email","chromium","Fri Oct 31 01:47:27 UTC 2025","passed","Fri Oct 31 01:47:27 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","616","Verify the login page with valid email and password","chromium","Fri Oct 31 01:47:26 UTC 2025","passed","Fri Oct 31 01:47:27 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","327","Buying the first item Sauce Labs Backpack","webkit","Fri Oct 31 01:47:59 UTC 2025","failed","Fri Oct 31 01:48:00 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","3309","Verify the login page with invalid email","firefox","Fri Oct 31 01:47:47 UTC 2025","failed","Fri Oct 31 01:47:51 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","327","Verify the login page with invalid email","webkit","Fri Oct 31 01:48:02 UTC 2025","failed","Fri Oct 31 01:48:03 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
