"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","326","Verify the login page with valid email and password","webkit","Sun Oct 26 01:51:17 UTC 2025","failed","Sun Oct 26 01:51:17 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","500","Verify the login page with valid email and password","chromium","Sun Oct 26 01:50:42 UTC 2025","passed","Sun Oct 26 01:50:43 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","338","Verify the login page with invalid email","chromium","Sun Oct 26 01:50:43 UTC 2025","passed","Sun Oct 26 01:50:43 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3324","Verify the login page with valid email and password","firefox","Sun Oct 26 01:50:56 UTC 2025","failed","Sun Oct 26 01:50:59 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","5906","Buying the first item Sauce Labs Backpack","chromium","Sun Oct 26 01:50:36 UTC 2025","failed","Sun Oct 26 01:50:42 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","3316","Verify the login page with invalid email","firefox","Sun Oct 26 01:51:03 UTC 2025","failed","Sun Oct 26 01:51:07 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3324","Buying the first item Sauce Labs Backpack","firefox","Sun Oct 26 01:50:48 UTC 2025","failed","Sun Oct 26 01:50:51 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","3432","Verify the login page with invalid password","firefox","Sun Oct 26 01:51:11 UTC 2025","failed","Sun Oct 26 01:51:14 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","332","Buying the first item Sauce Labs Backpack","webkit","Sun Oct 26 01:51:15 UTC 2025","failed","Sun Oct 26 01:51:16 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","329","Verify the login page with invalid email","webkit","Sun Oct 26 01:51:18 UTC 2025","failed","Sun Oct 26 01:51:19 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","328","Verify the login page with invalid password","webkit","Sun Oct 26 01:51:20 UTC 2025","failed","Sun Oct 26 01:51:20 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","341","Verify the login page with invalid password","chromium","Sun Oct 26 01:50:43 UTC 2025","passed","Sun Oct 26 01:50:44 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
