"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","233","Verify the login page with valid email and password","default","Sat Nov 08 01:42:26 UTC 2025","failed","Sat Nov 08 01:42:26 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","223","Buying the first item Sauce Labs Backpack","default","Sat Nov 08 01:42:24 UTC 2025","failed","Sat Nov 08 01:42:25 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","211","Verify the login page with invalid password","default","Sat Nov 08 01:42:28 UTC 2025","failed","Sat Nov 08 01:42:29 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","237","Verify the login page with invalid email","default","Sat Nov 08 01:42:27 UTC 2025","failed","Sat Nov 08 01:42:27 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
