"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","521","Verify the login page with invalid email","chromium","Mon Oct 20 01:51:32 UTC 2025","passed","Mon Oct 20 01:51:33 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3444","Verify the login page with invalid email","firefox","Mon Oct 20 01:51:53 UTC 2025","failed","Mon Oct 20 01:51:57 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","656","Verify the login page with valid email and password","chromium","Mon Oct 20 01:51:32 UTC 2025","passed","Mon Oct 20 01:51:32 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","503","Verify the login page with invalid password","chromium","Mon Oct 20 01:51:33 UTC 2025","passed","Mon Oct 20 01:51:33 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","344","Buying the first item Sauce Labs Backpack","webkit","Mon Oct 20 01:52:06 UTC 2025","failed","Mon Oct 20 01:52:06 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","341","Verify the login page with invalid password","webkit","Mon Oct 20 01:52:10 UTC 2025","failed","Mon Oct 20 01:52:10 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3390","Buying the first item Sauce Labs Backpack","firefox","Mon Oct 20 01:51:38 UTC 2025","failed","Mon Oct 20 01:51:42 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","6094","Buying the first item Sauce Labs Backpack","chromium","Mon Oct 20 01:51:25 UTC 2025","failed","Mon Oct 20 01:51:31 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","3318","Verify the login page with valid email and password","firefox","Mon Oct 20 01:51:46 UTC 2025","failed","Mon Oct 20 01:51:49 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","344","Verify the login page with valid email and password","webkit","Mon Oct 20 01:52:07 UTC 2025","failed","Mon Oct 20 01:52:07 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3402","Verify the login page with invalid password","firefox","Mon Oct 20 01:52:01 UTC 2025","failed","Mon Oct 20 01:52:04 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","342","Verify the login page with invalid email","webkit","Mon Oct 20 01:52:09 UTC 2025","failed","Mon Oct 20 01:52:09 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
