"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","329","Verify the login page with invalid password","webkit","Wed Oct 29 01:51:48 UTC 2025","failed","Wed Oct 29 01:51:48 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3319","Buying the first item Sauce Labs Backpack","firefox","Wed Oct 29 01:51:16 UTC 2025","failed","Wed Oct 29 01:51:19 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","3324","Verify the login page with invalid email","firefox","Wed Oct 29 01:51:31 UTC 2025","failed","Wed Oct 29 01:51:34 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","366","Verify the login page with invalid password","chromium","Wed Oct 29 01:51:11 UTC 2025","passed","Wed Oct 29 01:51:12 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","330","Buying the first item Sauce Labs Backpack","webkit","Wed Oct 29 01:51:43 UTC 2025","failed","Wed Oct 29 01:51:44 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","365","Verify the login page with invalid email","chromium","Wed Oct 29 01:51:11 UTC 2025","passed","Wed Oct 29 01:51:11 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3325","Verify the login page with valid email and password","firefox","Wed Oct 29 01:51:23 UTC 2025","failed","Wed Oct 29 01:51:27 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","5907","Buying the first item Sauce Labs Backpack","chromium","Wed Oct 29 01:51:04 UTC 2025","failed","Wed Oct 29 01:51:10 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","3325","Verify the login page with invalid password","firefox","Wed Oct 29 01:51:39 UTC 2025","failed","Wed Oct 29 01:51:42 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","504","Verify the login page with valid email and password","chromium","Wed Oct 29 01:51:10 UTC 2025","passed","Wed Oct 29 01:51:11 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","331","Verify the login page with valid email and password","webkit","Wed Oct 29 01:51:45 UTC 2025","failed","Wed Oct 29 01:51:45 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","328","Verify the login page with invalid email","webkit","Wed Oct 29 01:51:46 UTC 2025","failed","Wed Oct 29 01:51:47 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
