"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","358","Verify the login page with invalid password","chromium","Sun Oct 19 01:54:17 UTC 2025","passed","Sun Oct 19 01:54:17 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","344","Verify the login page with valid email and password","webkit","Sun Oct 19 01:54:50 UTC 2025","failed","Sun Oct 19 01:54:51 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","341","Buying the first item Sauce Labs Backpack","webkit","Sun Oct 19 01:54:49 UTC 2025","failed","Sun Oct 19 01:54:49 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","582","Verify the login page with valid email and password","chromium","Sun Oct 19 01:54:16 UTC 2025","passed","Sun Oct 19 01:54:16 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3322","Verify the login page with invalid password","firefox","Sun Oct 19 01:54:44 UTC 2025","failed","Sun Oct 19 01:54:48 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","5942","Buying the first item Sauce Labs Backpack","chromium","Sun Oct 19 01:54:09 UTC 2025","failed","Sun Oct 19 01:54:15 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","3476","Buying the first item Sauce Labs Backpack","firefox","Sun Oct 19 01:54:21 UTC 2025","failed","Sun Oct 19 01:54:25 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","344","Verify the login page with invalid email","webkit","Sun Oct 19 01:54:52 UTC 2025","failed","Sun Oct 19 01:54:52 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","339","Verify the login page with invalid password","webkit","Sun Oct 19 01:54:54 UTC 2025","failed","Sun Oct 19 01:54:54 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3322","Verify the login page with invalid email","firefox","Sun Oct 19 01:54:37 UTC 2025","failed","Sun Oct 19 01:54:40 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3368","Verify the login page with valid email and password","firefox","Sun Oct 19 01:54:29 UTC 2025","failed","Sun Oct 19 01:54:33 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","359","Verify the login page with invalid email","chromium","Sun Oct 19 01:54:16 UTC 2025","passed","Sun Oct 19 01:54:17 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
