"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","533","Verify the login page with valid email and password","Login","Mon Nov 24 21:18:10 UTC 2025","passed","Mon Nov 24 21:18:10 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","301","Verify the login page with invalid email","Login","Mon Nov 24 21:18:10 UTC 2025","passed","Mon Nov 24 21:18:10 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","307","Verify the login page with invalid password","Login","Mon Nov 24 21:18:11 UTC 2025","passed","Mon Nov 24 21:18:11 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","5637","Buying the first item Sauce Labs Backpack","Buy Product","Mon Nov 24 21:18:03 UTC 2025","failed","Mon Nov 24 21:18:09 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
