"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","481","Verify the login page with valid email and password","chromium","Mon Oct 27 01:54:40 UTC 2025","passed","Mon Oct 27 01:54:41 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3316","Verify the login page with invalid email","firefox","Mon Oct 27 01:55:01 UTC 2025","failed","Mon Oct 27 01:55:05 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3322","Buying the first item Sauce Labs Backpack","firefox","Mon Oct 27 01:54:46 UTC 2025","failed","Mon Oct 27 01:54:49 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","5878","Buying the first item Sauce Labs Backpack","chromium","Mon Oct 27 01:54:34 UTC 2025","failed","Mon Oct 27 01:54:40 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","3624","Verify the login page with valid email and password","firefox","Mon Oct 27 01:54:53 UTC 2025","failed","Mon Oct 27 01:54:57 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","329","Verify the login page with valid email and password","webkit","Mon Oct 27 01:55:15 UTC 2025","failed","Mon Oct 27 01:55:15 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","3310","Verify the login page with invalid password","firefox","Mon Oct 27 01:55:09 UTC 2025","failed","Mon Oct 27 01:55:12 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","340","Verify the login page with invalid email","chromium","Mon Oct 27 01:54:41 UTC 2025","passed","Mon Oct 27 01:54:41 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","329","Buying the first item Sauce Labs Backpack","webkit","Mon Oct 27 01:55:13 UTC 2025","failed","Mon Oct 27 01:55:14 UTC 2025","Buy a Backpack @smokeTest","ui/specs/buyProducts.spec.ts","",""
"","378","Verify the login page with invalid password","webkit","Mon Oct 27 01:55:18 UTC 2025","failed","Mon Oct 27 01:55:18 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","322","Verify the login page with invalid password","chromium","Mon Oct 27 01:54:41 UTC 2025","passed","Mon Oct 27 01:54:42 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
"","383","Verify the login page with invalid email","webkit","Mon Oct 27 01:55:16 UTC 2025","failed","Mon Oct 27 01:55:17 UTC 2025","Login Page @smokeTest","ui/specs/login/login.spec.ts","",""
